license_number,provider_name,first_name,last_name,middle_name,suffix,license_type,specialty,secondary_specialty,status,issue_date,expiration_date,renewal_date,address_line1,address_city,address_state,address_zip,county,phone,email,medical_school,medical_school_graduation_year,residency_program,board_certification,languages,public_record,disciplinary_history,malpractice_insurance,hospital_affiliations,last_updated
A72874,"Liu, Jessica MD PhD",Jessica,Liu,A,MD PhD,Physician and Surgeon,Otolaryngology,,Inactive,2023-06-26,2026-08-12,2025-05-06,5577 Sunset Blvd,San Jose,CA,95435,Contra Costa,(347) 494-3788,jessica.liu@email.com,Stanford University School of Medicine,1999,UCSF Medical Center,Emergency Medicine,English,True,None,Yes,,2025-09-02
A91166,"Kumar, Maria MD PhD",Maria,Kumar,C,MD PhD,Physician and Surgeon,Otolaryngology,,Inactive,2019-07-08,2026-05-08,2025-06-07,9193 Beverly Dr,San Francisco,CA,96178,Contra Costa,(646) 730-2821,maria.kumar@email.com,Stanford University School of Medicine,1991,UCLA Medical Center,Dermatology,English,True,None,Yes,,2025-09-02
A80623,"Lewis, David DO PhD",David,Lewis,,DO PhD,Physician and Surgeon,Dermatology,,Active,2020-04-26,2026-08-09,2024-11-30,3073 Pico Blvd,San Francisco,CA,96149,Fresno,(323) 506-5303,david.lewis@email.com,UCSF School of Medicine,2015,UCLA Medical Center,Emergency Medicine,English,True,None,Yes,,2025-09-02
A75056,"Wilson, Ana DO PhD",Ana,Wilson,A,DO PhD,Physician and Surgeon,Endocrinology,,Active,2019-04-15,2026-08-03,2025-07-11,1360 Sunset Blvd,San Francisco,CA,96160,Alameda,(323) 316-2342,ana.wilson@email.com,Stanford University School of Medicine,1997,Stanford Hospital,Nephrology,English,True,None,Yes,,2025-09-02
A46058,"Sharma, Wei MD",Wei,Sharma,B,MD,Physician and Surgeon,Otolaryngology,,Active,2023-07-19,2025-03-09,2024-10-21,9386 Sunset Blvd,Los Angeles,CA,93034,Santa Clara,(646) 773-7966,wei.sharma@email.com,UCSF School of Medicine,2008,UCLA Medical Center,Psychiatry,English,True,None,Yes,,2025-09-02
A92313,"White, Wei MD",Wei,White,B,MD,Physician and Surgeon,Endocrinology,,Active,2023-06-11,2026-06-04,2025-08-27,5217 Hollywood Blvd,Los Angeles,CA,90998,Fresno,(917) 798-2307,wei.white@email.com,UCLA David Geffen School of Medicine,1997,Stanford Hospital,Dermatology,English,True,None,Yes,,2025-09-02
A50288,"Wang, Li DO PhD",Li,Wang,A,DO PhD,Physician and Surgeon,Radiology,,Inactive,2019-10-03,2025-06-18,2025-05-01,6990 Main St,Los Angeles,CA,94114,San Diego,(212) 490-6369,li.wang@email.com,UCLA David Geffen School of Medicine,2018,UCLA Medical Center,Anesthesiology,English,True,None,Yes,,2025-09-02
A62489,"Robinson, Christopher DO",Christopher,Robinson,,DO,Physician and Surgeon,Radiology,,Inactive,2017-09-20,2026-07-07,2025-05-20,6212 Rodeo Dr,San Francisco,CA,94175,Fresno,(213) 781-5019,christopher.robinson@email.com,UCLA David Geffen School of Medicine,2001,UCLA Medical Center,Urology,English,True,None,Yes,,2025-09-02
A81375,"Smith, Michael MD PhD",Michael,Smith,B,MD PhD,Physician and Surgeon,Gastroenterology,,Active,2022-08-29,2026-02-24,2024-10-13,4783 Santa Monica Blvd,San Jose,CA,96720,Alameda,(917) 798-8984,michael.smith@email.com,Stanford University School of Medicine,1995,UCSF Medical Center,Pathology,English,True,None,Yes,,2025-09-02
A59785,"Davis, Ana MD",Ana,Davis,B,MD,Physician and Surgeon,Psychiatry,,Active,2019-04-08,2027-01-10,2024-10-23,698 Sunset Blvd,San Jose,CA,90230,Orange,(323) 808-7911,ana.davis@email.com,Stanford University School of Medicine,2002,UCSF Medical Center,Family Medicine,English,True,None,Yes,,2025-09-02
A33211,"Thomas, Mary MD PhD",Mary,Thomas,,MD PhD,Physician and Surgeon,Oncology,,Active,2020-10-24,2025-11-03,2025-07-29,6754 Wilshire Blvd,San Jose,CA,92648,Riverside,(929) 748-5908,mary.thomas@email.com,UCSF School of Medicine,2016,UCSF Medical Center,Internal Medicine,English,True,None,Yes,,2025-09-02
A34760,"Davis, Patricia MD",Patricia,Davis,,MD,Physician and Surgeon,Dermatology,,Active,2018-03-05,2025-09-21,2025-08-29,4327 Sunset Blvd,Los Angeles,CA,92156,San Bernardino,(626) 477-8426,patricia.davis@email.com,UCLA David Geffen School of Medicine,2006,Stanford Hospital,Psychiatry,English,True,None,Yes,,2025-09-02
A12832,"Lee, Sarah DO",Sarah,Lee,C,DO,Physician and Surgeon,Otolaryngology,,Active,2023-03-04,2026-04-18,2024-12-23,6589 Melrose Ave,San Francisco,CA,95027,Contra Costa,(310) 983-5417,sarah.lee@email.com,UCSF School of Medicine,2014,UCSF Medical Center,Cardiology,English,True,None,Yes,,2025-09-02
